dataset,holdout,target,early_seconds,metadata_mae_log10_target,combined_mae_log10_target,mae_reduction_pct,metadata_q95_abs_error,combined_q95_abs_error,q95_reduction_pct,metadata_r2,combined_r2,train_rows,test_rows,train_groups,test_groups,group_overlap
aq2009gm_chunks096-100,event,pga,1.0,0.2145759172885568,0.1529725334037948,28.70936527416503,0.5637859100377305,0.3946675795070707,29.99690618719822,0.8495037667343021,0.9238588627783766,12000,3500,4217,659,0
aq2009gm_chunks096-100,event,pga,3.0,0.2145759172885568,0.11469439558588705,46.548337280717,0.5637859100377305,0.3017887757599474,46.47103264078546,0.8495037667343021,0.9529562841236835,12000,3500,4217,659,0
aq2009gm_chunks096-100,event,pga,10.0,0.2145759172885568,0.07937568407048362,63.00811150035024,0.5637859100377305,0.20299931195324483,63.99354642622065,0.8495037667343021,0.9771311424570044,12000,3500,4217,659,0
aq2009gm_chunks096-100,event,pgv,1.0,0.2061071152079614,0.14709755001121508,28.630532787383817,0.5534340799711308,0.37199093110700576,32.78496128637214,0.856202624040844,0.9280843637349497,12000,3500,4217,659,0
aq2009gm_chunks096-100,event,pgv,3.0,0.2061071152079614,0.09644383972313313,53.20693338227475,0.5534340799711308,0.28580385541404474,48.35810338442596,0.856202624040844,0.9609825164595501,12000,3500,4217,659,0
aq2009gm_chunks096-100,event,pgv,10.0,0.2061071152079614,0.03406510828331813,83.47213377425298,0.5534340799711308,0.09091860256919632,83.57191834410723,0.856202624040844,0.9902793001759148,12000,3500,4217,659,0
aq2009gm_chunks096-100,station,pga,1.0,0.5101437550060647,0.18654221033961474,63.433403132143205,1.3558255815067817,0.4839542057661011,64.30557054187871,0.13424837047334326,0.8711413079630681,12000,3500,35,11,0
aq2009gm_chunks096-100,station,pga,3.0,0.5101437550060647,0.14025374106015087,72.50701597660772,1.3558255815067817,0.39585453554110644,70.80343217147606,0.13424837047334326,0.9184263939252213,12000,3500,35,11,0
aq2009gm_chunks096-100,station,pga,10.0,0.5101437550060647,0.1197642984420673,76.52342163031211,1.3558255815067817,0.31485380499743376,76.77770582794841,0.13424837047334326,0.9460035505092766,12000,3500,35,11,0
aq2009gm_chunks096-100,station,pgv,1.0,0.4855767996049083,0.18956010845469765,60.96186872829714,1.5107262965944706,0.45961975641977515,69.57623909401292,0.1082301246711892,0.8738858920156445,12000,3500,35,11,0
aq2009gm_chunks096-100,station,pgv,3.0,0.4855767996049083,0.11365917479411276,76.59295607067882,1.5107262965944706,0.36934005283460636,75.55215304935216,0.1082301246711892,0.9325235860904502,12000,3500,35,11,0
aq2009gm_chunks096-100,station,pgv,10.0,0.4855767996049083,0.03725894646861309,92.32686847910999,1.5107262965944706,0.10221147301907767,93.2342825269219,0.1082301246711892,0.9869335753178486,12000,3500,35,11,0
