holdout,window_s,window,metadata_mae,combined_mae,reduction_pct,combined_r2
event,2.0,2s,0.2393475869771306,0.19114665602344624,20.138465385193086,0.8567898184029812
event,5.0,5s,0.2393475869771306,0.09725079380688734,59.36838343134015,0.9357389690341829
event,10.0,10s,0.2393475869771306,0.035885671388524776,85.0068798095075,0.9784100563793388
station,2.0,2s,0.3609285521919551,0.21950195746712728,39.18409720315281,0.7881883642332612
station,5.0,5s,0.3609285521919551,0.1154586273828099,68.01066951294982,0.9091728786451181
station,10.0,10s,0.3609285521919551,0.03436733183104097,90.47807893769425,0.9796901723214219
