window_s,main_held_station_gain_pct,aq_station_gain_pct,esm_station_gain_vs_median_pct,zero_shot_transfer_ratio,offset_transfer_ratio,target_domain_conformal_coverage,target_offset_conformal_coverage,zero_shot_conformal_coverage,target_domain_top5_under_factor2_rate,target_offset_top5_under_factor2_rate,zero_shot_top5_under_factor2_rate
1,20.197780570218647,32.42790162774065,45.851991702694,2.254672774590115,1.398309816991217,,,,,,
2,21.20446948546705,38.01436598649416,35.49387963388542,2.653597190325458,1.5521582964713279,0.8950046253469011,0.905,0.46799999999999997,0.52,1.0,0.5633223684210527
3,22.933337987233493,47.17963300067192,49.62919234769329,2.9837929116814577,1.665059447086578,,,,,,
5,24.8242527590739,63.83940945796131,47.420344619710384,3.382531868700734,1.845802675509107,0.8954,0.9035,0.2975498179410791,0.32,1.0,0.44177631578947363
10,31.619790303908633,77.4621498519337,66.19514616206064,4.2730035142314104,2.461416815943746,,,,,,
