dataset,target,boore2014_mae,boore2014_r2,metadata_hgb_mae,combined_mae,combined_r2,combined_vs_boore_reduction_pct,series,label,coverage,interval_width,q90_abs_residual,mae
instancegm,pga,0.3987259017096867,0.5493499239757668,0.3919522925260567,0.252928037148072,0.7992418053157734,36.5659376369711,INSTANCEGM PGA,InstanceGM PGA,0.845,0.9131715119433412,0.4565857559716706,0.2593347639863054
instancegm,pgv,0.4338769558032187,0.3364866946747582,0.3722421669362939,0.1763427143144129,0.8583793911721597,59.35651526180808,INSTANCEGM PGV,InstanceGM PGV,0.898,0.7743172853597713,0.3871586426798856,0.1783254022480158
instancegm,sa03,0.3742110482567795,0.5382132769782781,0.3269999344388457,0.2418498355989245,0.8138809225383226,35.370738858311356,INSTANCEGM SA03,InstanceGM SA03,0.8588709677419355,0.929643402282359,0.4648217011411795,0.2461393221825842
instancegm,sa10,0.4109787213778042,0.4231519153180297,0.3305516828433399,0.2615089329464972,0.7846810339560205,36.36922805400004,INSTANCEGM SA10,InstanceGM SA10,0.82,0.8767778007445166,0.4383889003722583,0.2679909492232584
instancegm,sa30,0.4766153713677195,-0.0435959370123357,0.3432027002957187,0.2478956790929143,0.6827842120269774,47.98831636891182,INSTANCEGM SA30,InstanceGM SA30,0.8757961783439491,0.9464303123454822,0.4732151561727411,0.249108057377502
knet,pga,0.2823110411420898,0.2839527043925524,0.2223710168328958,0.1112985036745596,0.8747112081158755,60.57592957600904,KNET PGA,K-NET PGA,0.925,0.5454066773997797,0.2727033386998898,0.1134745620278028
