dataset,target,window_s,threshold,records,metadata_mae,combined_mae,mae_reduction_pct,metadata_q95_abs,combined_q95_abs,q95_reduction_pct
knet,pga,1,0.5,171,0.27691234769865286,0.22927299255931186,17.203767016985484,0.6606359991675117,0.5912641947058891,10.500760562403535
knet,pga,1,0.8,302,0.23772486128899578,0.20498044884795483,13.774079944139475,0.5989735604750316,0.5495361679361185,8.253685271133753
knet,pga,1,1.0,380,0.23204579888887664,0.20206145367173414,12.921735864522832,0.5729021389379135,0.5182234399116605,9.544160391444905
knet,pga,3,0.5,132,0.2745847759207663,0.2227617304534042,18.87324062070946,0.6487342822001929,0.5719597904428096,11.834505106929347
knet,pga,3,0.8,255,0.23943187154621287,0.19660609388423755,17.886414780711217,0.596477672197995,0.5160111131484647,13.490288538884348
knet,pga,3,1.0,335,0.22906398020857582,0.18567578610182384,18.941517591392834,0.5707055263260513,0.49288066443433515,13.63660562264362
knet,pga,10,0.5,25,0.33711998736433385,0.23349538730104882,30.73819528573231,0.5983975862572539,0.5196223672296013,13.16436109315902
knet,pga,10,0.8,53,0.2753778108254849,0.20982511729954778,23.804638917505162,0.5968616550098468,0.4673261562673273,21.70276774445871
knet,pga,10,1.0,85,0.23900399386545368,0.18347753858805543,23.232438244800477,0.5983975862572539,0.45563765060198036,23.85703735006384
