dataset,target,reference,vs30_default_mps,train_rows,test_rows,bias_log10,mae_log10_target,r2_log10_target
knet,pga,Kanno2006Shallow,760.0,5000,1000,0.4171950492848847,0.24154281249983975,0.4895000651533373
knet,pga,SiMidorikawa1999SInter,600.0,5000,1000,-0.10980084030260706,0.24489328061886928,0.45400468504758573
knet,pga,SiMidorikawa1999Asc,600.0,5000,1000,-0.09980084030260711,0.2448932806188693,0.4540046850475856
knet,pga,SiMidorikawa1999SSlab,600.0,5000,1000,-0.31980084030260736,0.2448932806188693,0.4540046850475855
knet,pga,ZhaoEtAl2006Asc,760.0,5000,1000,0.10482567085368444,0.25128832645914007,0.41836989877091457
knet,pga,ZhaoEtAl2006SInter,760.0,5000,1000,0.10482567085368444,0.25128832645914007,0.41836989877091457
knet,pga,Kanno2006Deep,760.0,5000,1000,-0.20996701994035144,0.2656054058505642,0.3843090713333661
knet,pga,ZhaoEtAl2006SSlab,760.0,5000,1000,-0.31774037750835504,0.3284251733241065,-0.008321295532155437
