window_s,dataset,target,mae_log10_target_metadata,q95_abs_residual_metadata,r2_log10_target_metadata,mae_log10_target_combined,q95_abs_residual_combined,r2_log10_target_combined,median_signed_residual,mean_signed_residual,mae_reduction_pct,q95_reduction_pct,r2_gain,series
1,instancegm,pga,0.2991840183442956,0.7693044426046937,0.7455013846736022,0.2513601177635433,0.6643734734589836,0.8188610800030857,0.0167875363582861,-0.0014177510512943,15.984777811800571,13.639719639527517,0.0733596953294835,INSTANCEGM PGA
3,instancegm,pga,0.2991840183442956,0.7693044426046937,0.7455013846736022,0.2425894831269478,0.6908643162377303,0.8218997580173693,0.0086442983721721,0.0022141492300411,18.91629624153915,10.196239878894055,0.07639837334376709,INSTANCEGM PGA
10,instancegm,pga,0.2991840183442956,0.7693044426046937,0.7455013846736022,0.2074981255290622,0.6643211222882635,0.8469953975256078,0.0063727210449906,-0.0008079044446264,30.645317661895604,13.646524639969588,0.10149401285200566,INSTANCEGM PGA
1,instancegm,pgv,0.297551867124149,0.7902080133807945,0.6625446305107886,0.2140248726173668,0.582099739421368,0.8285220408991842,0.0159892695452714,-0.0077571463440328,28.07140661360119,26.33588503729093,0.16597741038839564,INSTANCEGM PGV
3,instancegm,pgv,0.297551867124149,0.7902080133807945,0.6625446305107886,0.2025657663615675,0.5411055052839736,0.8444622431743924,0.0291137883947039,0.0004311098486944,31.92253561727777,31.523662615248693,0.18191761266360384,INSTANCEGM PGV
10,instancegm,pgv,0.297551867124149,0.7902080133807945,0.6625446305107886,0.1645344556005575,0.4966391961249591,0.8634676809863968,0.0142932093965399,-0.0048547997734609,44.70394113443489,37.15082766622959,0.2009230504756082,INSTANCEGM PGV
1,instancegm,sa03,0.2728195796585652,0.707638348897808,0.7636530114332074,0.2496954218204871,0.6408876867522446,0.8068469233077049,0.009021100356501,0.0021249189889799,8.475989101302064,9.432878001811488,0.043193911874497504,INSTANCEGM SA03
3,instancegm,sa03,0.2728195796585652,0.707638348897808,0.7636530114332074,0.2389215721887795,0.6367699252210763,0.8196169141028138,0.0111017277452953,0.0050207113503065,12.42506403397043,10.014779977245967,0.05596390266960638,INSTANCEGM SA03
10,instancegm,sa03,0.2728195796585652,0.707638348897808,0.7636530114332074,0.22109311130668,0.6187309371504852,0.833843499408655,-0.007810746526299,-0.0020416337161816,18.95995456653847,12.56396178723238,0.07019048797544758,INSTANCEGM SA03
1,instancegm,sa10,0.2864402042559942,0.7159943787490279,0.6909599541522511,0.2252544485049832,0.5823317009572863,0.8149514726950469,0.0139924299101144,0.0047790492283545,21.360742955038795,18.668118320324613,0.12399151854279578,INSTANCEGM SA10
3,instancegm,sa10,0.2864402042559942,0.7159943787490279,0.6909599541522511,0.2204073427064985,0.556288783807549,0.8257296522849633,0.0250394777661162,0.008732387750938,23.052930618106085,22.305425808022907,0.13476969813271222,INSTANCEGM SA10
10,instancegm,sa10,0.2864402042559942,0.7159943787490279,0.6909599541522511,0.2096107106215742,0.5518198895392459,0.8266862910190402,0.0096348969964601,0.0049644581443827,26.822175271791387,22.929577952361115,0.13572633686678914,INSTANCEGM SA10
1,instancegm,sa30,0.3059099530115025,0.7810479212290659,0.492311221369872,0.2458220729883172,0.5915177034456862,0.6928959363063754,0.0211843320207929,-0.0101923028907846,19.642342274795457,24.2661445772921,0.20058471493650337,INSTANCEGM SA30
3,instancegm,sa30,0.3059099530115025,0.7810479212290659,0.492311221369872,0.2427215242506879,0.5875197341390429,0.6988837306770849,0.0162743439625261,-0.0014653472491615,20.65589175466894,24.77801704989942,0.20657250930721288,INSTANCEGM SA30
10,instancegm,sa30,0.3059099530115025,0.7810479212290659,0.492311221369872,0.2420968488919919,0.5933902680981329,0.6797051739315629,0.0194503929114189,-0.0068785464938821,20.860094119628446,24.026394287770813,0.18739395256169095,INSTANCEGM SA30
1,knet,pga,0.2170327607630392,0.5335214974137101,0.5419970402069755,0.1965874442235917,0.4851109922742693,0.6302743837474052,0.041749204569397,0.032224765154957,9.42038264986645,9.073768418726292,0.08827734354042971,KNET PGA
3,knet,pga,0.2170327607630392,0.5335214974137101,0.5419970402069755,0.178089618632675,0.4466359189445195,0.6882720834465217,0.0405054447478651,0.0252207513753952,17.94343950353335,16.285300384403577,0.1462750432395462,KNET PGA
10,knet,pga,0.2170327607630392,0.5335214974137101,0.5419970402069755,0.1047064444022345,0.3042058487138672,0.8765968157981207,0.0163059397134899,0.0129949301683165,51.755465841143156,42.98151992215302,0.3345997755911452,KNET PGA
